,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Margin,Margin,Month,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,M,P,≤3,≥10,Apr,May,Jun
1,Detroit Pistons,15-2,8-1,7-1,11-2,4-0,3-0,8-2,,4-0,2-1,5-0,2-0,8-2,5-0
2,Los Angeles Lakers,11-4,6-2,5-2,0-4,11-0,,0-4,,11-0,2-1,3-1,2-0,9-0,0-4
3,Chicago Bulls,9-8,5-3,4-5,9-8,,4-2,5-6,,,3-1,3-1,1-1,8-6,0-1
4,Phoenix Suns,7-5,4-3,3-2,,7-5,,,3-0,4-5,1-1,4-0,2-0,5-5,
5,New York Knicks,5-4,4-1,1-3,5-4,,3-0,2-4,,,2-1,1-3,2-0,3-4,
6,Golden State Warriors,4-4,1-2,3-2,,4-4,,,3-0,1-4,,1-3,2-0,2-4,
7,Milwaukee Bucks,3-6,1-3,2-3,3-6,,,3-6,,,0-1,1-2,1-1,2-5,
8,Seattle SuperSonics,3-5,2-2,1-3,,3-5,,,3-1,0-4,1-1,1-3,2-0,1-5,
9,Atlanta Hawks,2-3,1-2,1-1,2-3,,,2-3,,,,0-1,1-1,1-2,
10,Cleveland Cavaliers,2-3,1-2,1-1,2-3,,,2-3,,,1-1,,1-1,1-2,
11,Houston Rockets,1-3,1-1,0-2,,1-3,,,,1-3,0-1,1-1,0-2,1-1,
12,Boston Celtics,0-3,0-1,0-2,0-3,,,0-3,,,,0-2,0-2,0-1,
13,Denver Nuggets,0-3,0-1,0-2,,0-3,,,,0-3,0-1,0-1,0-2,0-1,
14,Philadelphia 76ers,0-3,0-1,0-2,0-3,,0-3,,,,0-2,,0-2,0-1,
15,Portland Trail Blazers,0-3,0-1,0-2,,0-3,,,,0-3,,0-1,0-2,0-1,
16,Utah Jazz,0-3,0-2,0-1,,0-3,,,,0-3,,0-1,0-2,0-1,
