Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kareem Abdul-Jabbar*\abdulka01,C,37,LAL,19,19,610,168,300,.560,0,0,,168,300,.560,.560,80,103,.777,50,104,154,76,23,36,52,67,416
2,Alvan Adams\adamsal01,PF,30,PHO,3,3,79,23,46,.500,0,0,,23,46,.500,.500,5,6,.833,4,13,17,11,7,1,6,8,51
3,Mark Aguirre\aguirma01,SF,25,DAL,4,4,164,44,89,.494,1,2,.500,43,87,.494,.500,27,32,.844,16,14,30,16,3,0,15,16,116
4,Danny Ainge\aingeda01,SG,25,BOS,21,21,687,97,208,.466,7,16,.438,90,192,.469,.483,30,39,.769,20,38,58,121,32,1,32,76,231
5,Ron Anderson\anderro01,SF,26,CLE,2,0,9,0,3,.000,0,0,,0,3,.000,.000,0,0,,1,2,3,0,0,0,0,0,0
6,John Bagley\baglejo01,PG,24,CLE,4,4,168,22,56,.393,0,3,.000,22,53,.415,.393,7,10,.700,1,15,16,40,10,0,17,7,51
7,Thurl Bailey\baileth01,PF,23,UTA,10,10,375,62,152,.408,0,0,,62,152,.408,.408,45,55,.818,21,71,92,27,5,18,21,30,169
8,Greg Ballard\ballagr01,SF,30,WSB,4,0,65,11,24,.458,0,2,.000,11,22,.500,.458,8,9,.889,4,10,14,6,3,0,5,7,30
9,Gene Banks\banksge01,SF,25,SAS,1,0,10,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,1,0,0,2,3,0
10,Charles Barkley*\barklch01,PF,21,PHI,13,2,408,75,139,.540,4,6,.667,71,133,.534,.554,40,63,.635,52,92,144,26,23,15,35,49,194
11,Kent Benson\bensoke01,C,30,DET,9,1,142,25,46,.543,0,0,,25,46,.543,.543,13,15,.867,9,27,36,4,8,2,6,27,63
12,Larry Bird*\birdla01,SF,28,BOS,20,20,815,196,425,.461,7,25,.280,189,400,.473,.469,121,136,.890,53,129,182,115,34,19,57,54,520
13,Rolando Blackman\blackro01,SG,25,DAL,4,4,169,47,92,.511,1,2,.500,46,90,.511,.516,36,38,.947,11,15,26,19,2,2,14,8,131
14,Sam Bowie\bowiesa01,C,23,POR,9,9,259,26,59,.441,0,0,,26,59,.441,.441,14,25,.560,16,60,76,21,4,21,12,36,66
15,Dudley Bradley\bradldu01,SG,27,WSB,4,0,41,5,9,.556,1,5,.200,4,4,1.000,.611,3,4,.750,2,4,6,6,2,0,5,5,14
16,Randy Breuer\breuera01,C,24,MIL,8,0,104,15,26,.577,0,0,,15,26,.577,.577,14,21,.667,9,15,24,0,2,2,8,15,44
17,Ron Brewer\brewero01,SG,29,NJN,3,0,93,15,30,.500,0,1,.000,15,29,.517,.500,6,8,.750,1,4,5,5,3,0,3,7,36
18,Wallace Bryant\bryanwa01,C,25,DAL,2,1,36,0,1,.000,0,0,,0,1,.000,.000,2,2,1.000,1,6,7,1,1,1,2,5,2
19,Quinn Buckner\bucknqu01,PG,30,BOS,15,0,86,13,22,.591,0,0,,13,22,.591,.591,5,8,.625,2,5,7,12,6,0,6,24,31
20,Tony Campbell\campbto01,SF,22,DET,2,0,9,1,3,.333,0,0,,1,3,.333,.333,0,0,,0,2,2,1,0,0,0,1,2
21,Kenny Carr\carrke01,PF,29,POR,9,9,265,50,95,.526,0,1,.000,50,94,.532,.526,16,20,.800,30,40,70,10,3,2,23,40,116
22,M.L. Carr\carrml01,SF,34,BOS,7,0,24,4,15,.267,1,2,.500,3,13,.231,.300,0,0,,1,1,2,1,1,0,1,4,9
23,Maurice Cheeks\cheekma01,PG,28,PHI,13,13,483,81,153,.529,0,5,.000,81,148,.547,.529,36,42,.857,12,34,46,67,31,5,34,29,198
24,Carlos Clark\clarkca01,SG,24,BOS,3,0,11,3,5,.600,0,0,,3,5,.600,.600,2,2,1.000,2,0,2,3,1,0,0,2,8
25,Don Collins\collido02,SG,26,WSB,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
26,Steve Colter\coltest01,PG,22,POR,9,0,166,36,75,.480,3,11,.273,33,64,.516,.500,5,8,.625,4,12,16,37,5,0,10,24,80
27,Darwin Cook\cookda01,PG,26,NJN,1,0,7,3,4,.750,0,0,,3,4,.750,.750,0,0,,0,0,0,1,0,0,2,2,6
28,Jeff Cook\cookje01,PF,28,SAS,5,0,98,9,18,.500,0,1,.000,9,17,.529,.500,17,25,.680,6,23,29,4,5,6,6,23,35
29,Michael Cooper\coopemi01,SG,28,LAL,19,0,501,71,126,.563,8,26,.308,63,100,.630,.595,48,52,.923,12,64,76,93,21,9,36,46,198
30,Wayne Cooper\coopewa01,C,28,DEN,15,12,321,67,143,.469,0,0,,67,143,.469,.469,30,40,.750,34,59,93,20,8,36,19,52,164
31,Dave Corzine\corzida01,C,28,CHI,4,4,77,14,21,.667,0,0,,14,21,.667,.667,5,6,.833,9,13,22,3,2,1,5,14,33
32,Terry Cummings\cummite01,PF,23,MIL,8,8,311,86,149,.577,0,1,.000,86,148,.581,.577,48,58,.828,21,49,70,20,12,7,26,33,220
33,Earl Cureton\curetea01,C,27,DET,9,0,133,16,34,.471,0,1,.000,16,33,.485,.471,5,9,.556,10,31,41,4,9,2,4,20,37
34,Quintin Dailey\dailequ01,SG,24,CHI,4,0,129,26,62,.419,1,7,.143,25,55,.455,.427,8,11,.727,5,8,13,11,4,0,5,9,61
35,Adrian Dantley*\dantlad01,SF,28,UTA,10,10,398,79,151,.523,0,1,.000,79,150,.527,.523,95,122,.779,25,50,75,20,16,0,36,39,253
36,Brad Davis\davisbr01,PG,29,DAL,4,4,113,13,26,.500,3,8,.375,10,18,.556,.558,12,13,.923,1,7,8,22,4,1,6,11,41
37,Charles Davis\davisch02,SF,26,MIL,5,0,51,8,20,.400,0,2,.000,8,18,.444,.400,3,4,.750,6,4,10,4,0,0,4,2,19
38,Johnny Davis\davisjo01,PG,29,CLE,3,0,50,12,16,.750,0,1,.000,12,15,.800,.750,4,5,.800,1,5,6,15,5,0,2,5,28
39,Darryl Dawkins\dawkida01,C,28,NJN,3,3,64,11,23,.478,0,0,,11,23,.478,.478,3,4,.750,4,10,14,4,2,6,7,13,25
40,Darren Daye\dayeda01,SF,24,WSB,4,4,85,17,30,.567,0,0,,17,30,.567,.567,7,16,.438,6,6,12,14,3,0,6,8,41
41,Clyde Drexler*\drexlcl01,SG,22,POR,9,9,339,55,134,.410,2,7,.286,53,127,.417,.418,38,45,.844,27,28,55,83,23,9,29,37,150
42,T.R. Dunn\dunntr01,SG,29,DEN,15,15,371,27,65,.415,0,0,,27,65,.415,.415,14,19,.737,27,33,60,34,24,3,10,45,68
43,Mark Eaton\eatonma01,C,28,UTA,5,5,158,12,34,.353,0,0,,12,34,.353,.353,5,7,.714,11,34,45,5,4,29,12,19,29
44,Craig Ehlo\ehlocr01,SG,23,HOU,3,0,6,1,1,1.000,0,0,,1,1,1.000,1.000,2,2,1.000,0,0,0,0,4,0,0,3,4
45,Dale Ellis\ellisda01,SF,24,DAL,4,1,68,10,23,.435,2,5,.400,8,18,.444,.478,1,2,.500,4,3,7,3,4,0,4,3,23
46,Chris Engler\englech01,C,25,MIL,1,0,6,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,2,2,0,0,0,0,2,2
47,Alex English*\englial01,SF,31,DEN,14,14,536,163,304,.536,0,1,.000,163,303,.538,.536,97,109,.890,36,56,92,63,17,5,30,40,423
48,Julius Erving*\ervinju01,SF,34,PHI,13,13,434,84,187,.449,0,1,.000,84,186,.452,.449,54,63,.857,29,44,73,48,25,11,37,34,222
49,Mike Evans\evansmi01,SG,29,DEN,15,0,281,62,143,.434,17,51,.333,45,92,.489,.493,14,17,.824,3,29,32,46,13,3,36,39,155
50,Rod Foster\fostero01,PG,24,PHO,3,0,56,7,25,.280,0,4,.000,7,21,.333,.280,6,8,.750,0,3,3,7,5,0,5,4,20
51,World B. Free\freewo01,SG,31,CLE,4,4,150,41,93,.441,0,4,.000,41,89,.461,.441,23,25,.920,4,6,10,31,6,0,6,12,105
52,George Gervin*\gervige01,SG,32,SAS,5,5,183,42,79,.532,0,3,.000,42,76,.553,.532,27,34,.794,3,15,18,14,3,3,20,19,111
53,Artis Gilmore*\gilmoar01,C,35,SAS,5,5,185,29,52,.558,0,0,,29,52,.558,.558,31,45,.689,10,40,50,7,2,7,23,18,89
54,Mike Gminski\gminsmi01,C,25,NJN,3,0,81,18,33,.545,0,0,,18,33,.545,.545,6,6,1.000,4,15,19,4,3,5,10,5,42
55,Rickey Green\greenri01,PG,30,UTA,10,10,302,57,106,.538,1,7,.143,56,99,.566,.542,35,38,.921,10,20,30,75,12,0,20,23,150
56,Sidney Green\greensi02,PF,24,CHI,3,0,54,12,24,.500,0,0,,12,24,.500,.500,7,11,.636,10,5,15,2,0,1,1,8,31
57,Dave Greenwood\greenda01,PF,27,CHI,4,4,139,15,28,.536,0,0,,15,28,.536,.536,8,10,.800,10,21,31,5,6,4,7,14,38
58,Kevin Grevey\greveke01,SF,31,MIL,5,0,28,4,13,.308,0,0,,4,13,.308,.308,4,4,1.000,1,1,2,2,2,0,0,5,12
59,Darrell Griffith\griffda01,SG,26,UTA,10,10,340,72,158,.456,13,36,.361,59,122,.484,.497,18,25,.720,6,23,29,25,12,5,25,21,175
60,Bob Hansen\hansebo01,SG,24,UTA,8,0,34,2,8,.250,0,0,,2,8,.250,.250,5,8,.625,1,3,4,6,3,0,3,6,9
61,Bill Hanzlik\hanzlbi01,SF,27,DEN,15,0,310,45,92,.489,0,1,.000,45,91,.495,.489,30,41,.732,24,22,46,33,14,6,22,57,120
62,Derek Harper\harpede01,PG,23,DAL,4,0,132,10,21,.476,1,3,.333,9,18,.500,.500,5,7,.714,1,11,12,20,6,1,4,12,26
63,Rod Higgins\higgiro01,SF,25,CHI,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
64,Roy Hinson\hinsoro01,PF,23,CLE,4,4,120,26,48,.542,0,0,,26,48,.542,.542,15,23,.652,10,20,30,3,3,9,8,18,67
65,Craig Hodges\hodgecr01,SG,24,MIL,8,8,216,28,77,.364,4,23,.174,24,54,.444,.390,4,5,.800,2,11,13,26,12,1,18,29,64
66,Lionel Hollins\hollili01,PG,31,HOU,5,1,94,8,26,.308,0,0,,8,26,.308,.308,1,1,1.000,1,8,9,18,4,0,7,16,17
67,Mike Holton\holtomi01,SG,23,PHO,3,0,55,9,19,.474,0,4,.000,9,15,.600,.474,4,4,1.000,0,2,2,9,0,0,3,8,22
68,Phil Hubbard\hubbaph01,SF,28,CLE,4,4,101,24,45,.533,1,1,1.000,23,44,.523,.544,13,17,.765,11,9,20,3,3,0,7,16,62
69,Jay Humphries\humphja01,SG,22,PHO,3,3,90,20,31,.645,0,0,,20,31,.645,.645,9,12,.750,1,4,5,16,2,0,8,12,49
70,Marc Iavaroni\iavarma01,PF,28,SAS,5,5,116,15,28,.536,0,1,.000,15,27,.556,.536,15,20,.750,8,18,26,13,5,2,15,23,45
71,Dan Issel*\isselda01,C,36,DEN,15,4,325,73,159,.459,1,1,1.000,72,158,.456,.462,39,48,.813,14,40,54,27,12,5,13,36,186
72,Clemon Johnson\johnscl01,C,28,PHI,13,0,165,13,33,.394,0,1,.000,13,32,.406,.394,16,21,.762,17,19,36,2,3,6,13,32,42
73,Dennis Johnson*\johnsde01,PG,30,BOS,21,21,848,142,319,.445,0,14,.000,142,305,.466,.445,80,93,.860,24,60,84,154,31,9,72,66,364
74,Frank Johnson\johnsfr01,PG,26,WSB,2,0,39,4,14,.286,1,6,.167,3,8,.375,.321,6,6,1.000,1,3,4,7,2,0,2,5,15
75,George Johnson\johnsge02,C,36,NJN,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
76,George Johnson\johnsge03,SF,28,PHI,5,0,24,5,8,.625,1,1,1.000,4,7,.571,.688,0,0,,3,4,7,0,0,0,1,2,11
77,Magic Johnson*\johnsma02,PG,25,LAL,19,19,687,116,226,.513,1,7,.143,115,219,.525,.515,100,118,.847,19,115,134,289,32,4,76,48,333
78,Steve Johnson\johnsst03,C,27,CHI,3,0,22,2,7,.286,0,0,,2,7,.286,.286,2,2,1.000,3,2,5,2,0,0,2,4,6
79,Vinnie Johnson\johnsvi01,SG,28,DET,9,0,235,53,103,.515,0,3,.000,53,100,.530,.515,22,28,.786,15,12,27,29,6,1,15,24,128
80,Bobby Jones\jonesbo01,PF,33,PHI,13,11,309,46,78,.590,0,0,,46,78,.590,.590,14,20,.700,22,26,48,16,12,15,19,38,106
81,Caldwell Jones\jonesca01,C,34,CHI,2,0,18,5,6,.833,0,1,.000,5,5,1.000,.833,0,0,,1,4,5,0,0,1,1,7,10
82,Charles Jones\jonesch01,C,27,WSB,4,0,110,10,19,.526,0,0,,10,19,.526,.526,9,16,.563,11,15,26,3,3,10,6,16,29
83,Charles Jones\jonesch02,C,23,PHO,2,0,34,3,5,.600,0,0,,3,5,.600,.600,6,6,1.000,1,2,3,3,0,3,3,4,12
84,Edgar Jones\jonesed01,PF,28,CLE,4,0,45,9,18,.500,0,1,.000,9,17,.529,.500,7,8,.875,2,6,8,3,2,0,2,6,25
85,Major Jones\jonesma01,PF,31,DET,1,0,4,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,0,0,0,0,0,2
86,Ozell Jones\jonesoz01,C,24,SAS,5,0,73,8,11,.727,0,0,,8,11,.727,.727,1,6,.167,5,12,17,4,1,4,7,18,17
87,Michael Jordan*\jordami01,SG,21,CHI,4,4,171,34,78,.436,1,8,.125,33,70,.471,.442,48,58,.828,7,16,23,34,11,4,15,15,117
88,Rich Kelley\kelleri01,C,31,UTA,9,5,174,18,38,.474,0,0,,18,38,.474,.474,13,15,.867,25,32,57,14,7,5,14,32,49
89,Jerome Kersey\kerseje01,SF,22,POR,8,0,60,16,31,.516,0,0,,16,31,.516,.516,6,8,.750,5,4,9,6,7,2,2,11,38
90,Albert King\kingal01,SF,25,NJN,3,3,105,28,57,.491,1,1,1.000,27,56,.482,.500,9,13,.692,4,19,23,5,7,2,10,14,66
91,Greg Kite\kitegr01,C,23,BOS,9,0,63,5,12,.417,0,0,,5,12,.417,.417,1,2,.500,5,11,16,3,1,0,2,13,11
92,Billy Knight\knighbi01,SF,32,SAS,5,0,45,8,15,.533,0,4,.000,8,11,.727,.533,0,0,,3,3,6,3,2,0,2,2,16
93,Joe Kopicki\kopicjo01,PF,24,DEN,7,0,32,6,16,.375,0,0,,6,16,.375,.375,9,17,.529,2,11,13,3,1,1,1,5,21
